name,rating
Amazon,4.2
Accenture,4.1
IBM,4.1
Genpact,4.0
HDB Financial Services,4.0
ICICI Bank,4.0
Larsen & Toubro Limited,4.0
Reliance Jio,3.9
Cognizant,3.9
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.9
Reliance Retail,3.9
Concentrix Corporation,3.9
TCS,3.8
Axis Bank,3.8
Wipro,3.8
HCLTech,3.7
Tech Mahindra,3.7
Teleperformance,3.6
